128,192,176.0,0.0
-1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
0,47
0,57
0,90
1,60
1,80
1,92
2,81
2,114
2,125
3,25
3,38
3,86
4,18
4,36
4,118
5,31
5,91
5,99
6,14
6,63
6,123
7,26
7,39
7,127
8,32
8,48
8,76
9,13
9,37
9,79
10,41
10,48
10,67
11,34
11,35
11,96
12,25
12,50
12,111
13,94
13,108
14,33
14,55
15,72
15,114
15,123
16,101
16,116
16,122
17,21
17,70
17,80
18,69
18,89
19,52
19,67
19,104
20,63
20,83
20,112
21,87
21,108
22,70
22,100
22,107
23,29
23,42
23,69
24,88
24,103
24,113
25,116
26,93
26,100
27,64
27,110
27,111
28,73
28,88
28,95
29,120
29,127
30,92
30,125
30,127
31,43
31,117
32,73
32,96
33,42
33,83
34,38
34,51
35,72
35,94
36,106
36,109
37,61
37,120
38,84
39,102
39,112
40,55
40,95
40,116
41,82
41,110
42,89
43,66
43,122
44,89
44,110
44,115
45,86
45,87
45,96
46,49
46,75
46,99
47,77
47,91
48,92
49,111
49,112
50,59
50,80
51,65
51,119
52,57
52,115
53,65
53,84
53,107
54,86
54,104
54,124
55,59
56,97
56,113
56,126
57,61
58,66
58,101
58,118
59,105
60,81
60,122
61,64
62,71
62,75
62,98
63,76
64,69
65,120
66,105
67,121
68,72
68,95
68,98
70,87
71,73
71,104
74,78
74,83
74,90
75,78
76,119
77,79
77,93
78,121
79,88
81,107
82,99
82,114
84,98
85,102
85,125
85,126
90,102
91,97
93,94
97,117
100,106
101,117
103,121
103,126
105,124
106,108
109,113
109,118
115,119
123,124
